gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Segment,Actual_Churn,Predicted_Churn,Churn_Probability_Percent,Risk_Level,Segment_Strategy,Final_Retention_Action
Male,1,Yes,No,62,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,103.75,6383.35,Loyal High-Spend Customers,Yes,Yes,55.33,Medium Risk,Loyalty Rewards + Premium Benefits,Loyalty Reward + Customer Check-In
Female,1,Yes,No,48,Yes,No,DSL,No,Yes,No,No,No,Yes,One year,Yes,Bank transfer (automatic),58.95,2789.7,Loyal Low-Spend Customers,No,No,12.86,Low Risk,Maintain Service + Loyalty Communication,Maintain Service Quality
Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.1,69.1,High-Risk High-Spend Customers,Yes,Yes,87.55,High Risk,Priority Support + Personalized Offer + Long-Term Contract Incentive,Urgent Priority Support + Personalized Offer + Contract Incentive
Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.75,19.75,New Low-Spend Customers,No,No,49.94,Medium Risk,Early Engagement + Welcome Offer + Service Guidance,Early Engagement + Service Guidance
Male,0,Yes,Yes,66,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),63.3,4189.7,Loyal High-Spend Customers,No,No,4.53,Low Risk,Loyalty Rewards + Premium Benefits,Maintain Loyalty Benefits
Female,1,Yes,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,70.45,70.45,High-Risk High-Spend Customers,Yes,Yes,82.64,High Risk,Priority Support + Personalized Offer + Long-Term Contract Incentive,Urgent Priority Support + Personalized Offer + Contract Incentive
Male,0,No,No,3,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Electronic check,90.4,268.45,High-Risk High-Spend Customers,No,Yes,83.09,High Risk,Priority Support + Personalized Offer + Long-Term Contract Incentive,Urgent Priority Support + Personalized Offer + Contract Incentive
Female,0,No,No,29,Yes,Yes,DSL,No,Yes,No,No,No,No,One year,Yes,Electronic check,55.25,1620.2,High-Risk High-Spend Customers,No,No,30.85,Medium Risk,Priority Support + Personalized Offer + Long-Term Contract Incentive,Proactive Support + Personalized Offer
Male,0,Yes,No,61,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,62.15,3778.85,Loyal Low-Spend Customers,No,No,4.53,Low Risk,Maintain Service + Loyalty Communication,Maintain Service Quality
Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.6,20.6,New Low-Spend Customers,Yes,No,42.21,Medium Risk,Early Engagement + Welcome Offer + Service Guidance,Early Engagement + Service Guidance
Male,0,No,No,11,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),45.2,492.0,New Low-Spend Customers,No,Yes,52.39,Medium Risk,Early Engagement + Welcome Offer + Service Guidance,Early Engagement + Service Guidance
Female,0,Yes,No,44,Yes,No,DSL,Yes,Yes,Yes,No,No,No,One year,Yes,Mailed check,61.5,2722.2,Loyal Low-Spend Customers,No,No,6.98,Low Risk,Maintain Service + Loyalty Communication,Maintain Service Quality
Male,0,Yes,No,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.25,855.1,Loyal Low-Spend Customers,No,No,1.34,Low Risk,Maintain Service + Loyalty Communication,Maintain Service Quality
Male,0,Yes,Yes,67,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),111.2,7530.8,Loyal High-Spend Customers,No,No,13.55,Low Risk,Loyalty Rewards + Premium Benefits,Maintain Loyalty Benefits
Male,0,No,No,71,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,One year,No,Credit card (automatic),97.65,6687.85,Loyal High-Spend Customers,No,No,11.14,Low Risk,Loyalty Rewards + Premium Benefits,Maintain Loyalty Benefits
Female,0,No,No,53,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.85,1049.6,Loyal Low-Spend Customers,No,No,1.06,Low Risk,Maintain Service + Loyalty Communication,Maintain Service Quality
Male,0,No,Yes,49,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),109.2,5290.45,Loyal High-Spend Customers,No,No,33.29,Medium Risk,Loyalty Rewards + Premium Benefits,Loyalty Reward + Customer Check-In
Male,0,Yes,No,64,Yes,Yes,DSL,No,Yes,No,Yes,No,Yes,One year,Yes,Mailed check,70.15,4480.7,Loyal High-Spend Customers,No,No,7.4,Low Risk,Loyalty Rewards + Premium Benefits,Maintain Loyalty Benefits
Female,0,Yes,No,59,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,One year,Yes,Electronic check,80.1,4693.2,Loyal High-Spend Customers,No,No,16.57,Low Risk,Loyalty Rewards + Premium Benefits,Maintain Loyalty Benefits
Female,0,Yes,No,70,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),86.45,5950.2,Loyal High-Spend Customers,No,No,1.78,Low Risk,Loyalty Rewards + Premium Benefits,Maintain Loyalty Benefits
Female,0,Yes,No,48,Yes,No,DSL,No,Yes,Yes,No,No,Yes,One year,Yes,Electronic check,65.65,3094.65,Loyal Low-Spend Customers,No,No,18.29,Low Risk,Maintain Service + Loyalty Communication,Maintain Service Quality
Male,0,No,No,2,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,50.3,92.75,New Low-Spend Customers,No,Yes,61.81,High Risk,Early Engagement + Welcome Offer + Service Guidance,Immediate Welcome Offer + Onboarding Support
Female,0,Yes,Yes,34,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),20.1,682.1,New Low-Spend Customers,No,No,4.47,Low Risk,Early Engagement + Welcome Offer + Service Guidance,Regular Onboarding Communication
Female,1,Yes,No,52,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,106.5,5621.85,Loyal High-Spend Customers,No,Yes,60.03,High Risk,Loyalty Rewards + Premium Benefits,Priority Loyalty Offer + Proactive Support
Female,1,Yes,No,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,High-Risk High-Spend Customers,Yes,Yes,80.75,High Risk,Priority Support + Personalized Offer + Long-Term Contract Incentive,Urgent Priority Support + Personalized Offer + Contract Incentive
Female,0,Yes,Yes,23,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),91.1,2198.3,High-Risk High-Spend Customers,No,No,9.6,Low Risk,Priority Support + Personalized Offer + Long-Term Contract Incentive,Maintain Premium Relationship
Female,0,Yes,Yes,23,No,No phone service,DSL,Yes,No,No,Yes,No,No,Two year,No,Mailed check,34.6,813.45,New Low-Spend Customers,No,No,5.75,Low Risk,Early Engagement + Welcome Offer + Service Guidance,Regular Onboarding Communication
Male,0,No,No,1,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),49.8,49.8,New Low-Spend Customers,No,Yes,57.35,Medium Risk,Early Engagement + Welcome Offer + Service Guidance,Early Engagement + Service Guidance
Female,0,Yes,Yes,9,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,75.85,647.5,High-Risk High-Spend Customers,No,Yes,67.0,High Risk,Priority Support + Personalized Offer + Long-Term Contract Incentive,Urgent Priority Support + Personalized Offer + Contract Incentive
Female,0,Yes,Yes,56,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),19.8,1119.9,Loyal Low-Spend Customers,No,No,0.85,Low Risk,Maintain Service + Loyalty Communication,Maintain Service Quality
Male,0,No,No,6,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.9,469.8,High-Risk High-Spend Customers,Yes,Yes,88.72,High Risk,Priority Support + Personalized Offer + Long-Term Contract Incentive,Urgent Priority Support + Personalized Offer + Contract Incentive
Female,0,No,Yes,25,No,No phone service,DSL,Yes,No,No,Yes,No,No,Two year,No,Bank transfer (automatic),35.05,844.45,New Low-Spend Customers,No,No,4.79,Low Risk,Early Engagement + Welcome Offer + Service Guidance,Regular Onboarding Communication
Male,0,Yes,Yes,25,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,No,Electronic check,54.3,1296.8,High-Risk High-Spend Customers,No,No,18.44,Low Risk,Priority Support + Personalized Offer + Long-Term Contract Incentive,Maintain Premium Relationship
Male,0,No,No,21,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,73.7,1558.7,High-Risk High-Spend Customers,No,Yes,83.08,High Risk,Priority Support + Personalized Offer + Long-Term Contract Incentive,Urgent Priority Support + Personalized Offer + Contract Incentive
Male,0,Yes,Yes,72,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),105.5,7611.55,Loyal High-Spend Customers,No,No,3.82,Low Risk,Loyalty Rewards + Premium Benefits,Maintain Loyalty Benefits
Male,0,Yes,Yes,43,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,24.25,1077.95,Loyal Low-Spend Customers,No,No,1.85,Low Risk,Maintain Service + Loyalty Communication,Maintain Service Quality
Female,0,Yes,Yes,11,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),51.0,581.7,New Low-Spend Customers,No,No,28.21,Low Risk,Early Engagement + Welcome Offer + Service Guidance,Regular Onboarding Communication
Male,0,Yes,Yes,57,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.4,1061.6,Loyal Low-Spend Customers,No,No,1.16,Low Risk,Maintain Service + Loyalty Communication,Maintain Service Quality
Female,0,No,No,23,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),20.3,470.6,New Low-Spend Customers,No,No,21.81,Low Risk,Early Engagement + Welcome Offer + Service Guidance,Regular Onboarding Communication
Male,0,Yes,Yes,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),24.3,1643.25,Loyal Low-Spend Customers,No,No,0.38,Low Risk,Maintain Service + Loyalty Communication,Maintain Service Quality
Female,0,No,No,44,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,50.15,2139.1,Loyal Low-Spend Customers,No,No,31.18,Medium Risk,Maintain Service + Loyalty Communication,Customer Check-In + Loyalty Communication
Male,0,Yes,Yes,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),25.55,1867.7,Loyal Low-Spend Customers,No,No,0.44,Low Risk,Maintain Service + Loyalty Communication,Maintain Service Quality
Male,0,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,74.25,74.25,High-Risk High-Spend Customers,Yes,Yes,86.67,High Risk,Priority Support + Personalized Offer + Long-Term Contract Incentive,Urgent Priority Support + Personalized Offer + Contract Incentive
Female,0,No,No,56,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,Two year,No,Bank transfer (automatic),45.05,2560.1,Loyal Low-Spend Customers,No,No,1.58,Low Risk,Maintain Service + Loyalty Communication,Maintain Service Quality
Female,1,Yes,Yes,34,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,79.6,2718.3,High-Risk High-Spend Customers,Yes,Yes,56.32,Medium Risk,Priority Support + Personalized Offer + Long-Term Contract Incentive,Proactive Support + Personalized Offer
Female,0,No,No,69,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.6,1678.05,Loyal Low-Spend Customers,No,No,0.7,Low Risk,Maintain Service + Loyalty Communication,Maintain Service Quality
Male,1,Yes,No,27,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.5,1893.95,High-Risk High-Spend Customers,Yes,Yes,79.39,High Risk,Priority Support + Personalized Offer + Long-Term Contract Incentive,Urgent Priority Support + Personalized Offer + Contract Incentive
Male,0,No,No,10,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,98.9,1064.95,High-Risk High-Spend Customers,No,Yes,69.38,High Risk,Priority Support + Personalized Offer + Long-Term Contract Incentive,Urgent Priority Support + Personalized Offer + Contract Incentive
Female,0,No,No,39,No,No phone service,DSL,Yes,Yes,No,Yes,No,No,One year,No,Bank transfer (automatic),41.15,1700.9,Loyal Low-Spend Customers,No,No,5.71,Low Risk,Maintain Service + Loyalty Communication,Maintain Service Quality
Male,0,Yes,Yes,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),89.85,6562.9,Loyal High-Spend Customers,No,No,2.05,Low Risk,Loyalty Rewards + Premium Benefits,Maintain Loyalty Benefits
Female,0,No,No,48,No,No phone service,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,44.8,2104.55,Loyal Low-Spend Customers,No,No,29.93,Low Risk,Maintain Service + Loyalty Communication,Maintain Service Quality
Male,0,No,No,24,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.75,487.05,New Low-Spend Customers,No,No,4.48,Low Risk,Early Engagement + Welcome Offer + Service Guidance,Regular Onboarding Communication
Male,0,No,Yes,27,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.15,537.35,New Low-Spend Customers,No,No,12.29,Low Risk,Early Engagement + Welcome Offer + Service Guidance,Regular Onboarding Communication
Female,0,No,Yes,34,Yes,No,DSL,Yes,No,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),67.65,2339.3,High-Risk High-Spend Customers,No,No,3.58,Low Risk,Priority Support + Personalized Offer + Long-Term Contract Incentive,Maintain Premium Relationship
Female,1,No,No,26,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,91.25,2351.8,High-Risk High-Spend Customers,Yes,Yes,83.81,High Risk,Priority Support + Personalized Offer + Long-Term Contract Incentive,Urgent Priority Support + Personalized Offer + Contract Incentive
Female,0,Yes,No,46,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,One year,No,Mailed check,70.6,3231.05,Loyal Low-Spend Customers,No,No,4.53,Low Risk,Maintain Service + Loyalty Communication,Maintain Service Quality
Female,0,Yes,Yes,71,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),19.85,1326.35,Loyal Low-Spend Customers,No,No,0.25,Low Risk,Maintain Service + Loyalty Communication,Maintain Service Quality
Male,0,No,No,43,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),75.35,3161.4,Loyal High-Spend Customers,No,Yes,60.42,High Risk,Loyalty Rewards + Premium Benefits,Priority Loyalty Offer + Proactive Support
Female,0,Yes,Yes,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,528.35,New Low-Spend Customers,Yes,No,32.92,Medium Risk,Early Engagement + Welcome Offer + Service Guidance,Early Engagement + Service Guidance
Female,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.25,70.25,High-Risk High-Spend Customers,No,Yes,86.7,High Risk,Priority Support + Personalized Offer + Long-Term Contract Incentive,Urgent Priority Support + Personalized Offer + Contract Incentive
Male,0,Yes,No,28,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),96.6,2684.35,High-Risk High-Spend Customers,No,Yes,68.52,High Risk,Priority Support + Personalized Offer + Long-Term Contract Incentive,Urgent Priority Support + Personalized Offer + Contract Incentive
Male,0,No,No,24,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),60.45,1440.75,High-Risk High-Spend Customers,No,No,14.55,Low Risk,Priority Support + Personalized Offer + Long-Term Contract Incentive,Maintain Premium Relationship
Female,1,No,No,11,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),84.8,906.85,High-Risk High-Spend Customers,Yes,Yes,86.8,High Risk,Priority Support + Personalized Offer + Long-Term Contract Incentive,Urgent Priority Support + Personalized Offer + Contract Incentive
Male,0,No,No,20,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.7,419.4,New Low-Spend Customers,No,No,7.4,Low Risk,Early Engagement + Welcome Offer + Service Guidance,Regular Onboarding Communication
Female,1,Yes,No,58,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),100.4,5749.8,Loyal High-Spend Customers,No,Yes,56.67,Medium Risk,Loyalty Rewards + Premium Benefits,Loyalty Reward + Customer Check-In
Male,0,No,No,57,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),74.35,4317.35,Loyal High-Spend Customers,No,No,5.98,Low Risk,Loyalty Rewards + Premium Benefits,Maintain Loyalty Benefits
Female,1,Yes,No,70,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,113.65,7714.65,Loyal High-Spend Customers,No,No,17.43,Low Risk,Loyalty Rewards + Premium Benefits,Maintain Loyalty Benefits
Male,0,Yes,Yes,72,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),65.65,4664.5,Loyal High-Spend Customers,No,No,1.81,Low Risk,Loyalty Rewards + Premium Benefits,Maintain Loyalty Benefits
Female,0,No,Yes,46,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.8,4391.25,Loyal High-Spend Customers,No,Yes,63.54,High Risk,Loyalty Rewards + Premium Benefits,Priority Loyalty Offer + Proactive Support
Female,0,Yes,Yes,8,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,68.55,564.35,High-Risk High-Spend Customers,No,Yes,62.99,High Risk,Priority Support + Personalized Offer + Long-Term Contract Incentive,Urgent Priority Support + Personalized Offer + Contract Incentive
Male,0,Yes,Yes,72,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Credit card (automatic),84.5,6130.85,Loyal High-Spend Customers,No,No,13.17,Low Risk,Loyalty Rewards + Premium Benefits,Maintain Loyalty Benefits
